student.id,generation,educational.model,level,gender,age,max.degree.parents,father.education.complete,father.education.summary,mother.education.complete,mother.education.summary,parents.exatec,father.exatec,mother.exatec,tec.no.tec,foreign,zone.type,first.generation,school,program,region,PNA,admission.test,online.test,english.evaluation,admission.rubric,general.math.eval,retention,FTE,scholarship.perc,scholarship.type,loan.perc,total.scholarship.loan,school.cost,id.school.origin,socioeconomic.level,social.lag,average.first.period,failed.subject.first.period,dropped.subject.first.period,dropout.semester,physical.education,cultural.diffusion,student.society,total.life.activities,athletic.sports,art.culture,student.society.leadership,life.work.mentoring,wellness.activities
121128,AD20,1,Undergraduate,Female,19,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,No,EN,NEG,RCM,83,1190,0,6,35,65.75,1,1,0,No scholarship,0,0,High cost,School 5372,No information,No information,"92,33333333",0,0,0,Does not apply,Does not apply,Does not apply,3,0,1,0,1,1
69370,AD19,1,Undergraduate,Female,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Graduated from high school,No degree,No,No,No,TEC,Local,Urban,No,EN,NEG,RM,86,Does not apply ,0,7,,73.5,1,1,"0,5",Cultural talent,0,"0,5",High cost,School 5314,No information,No information,"92,66666667",0,0,0,Does not apply,Does not apply,Does not apply,4,1,1,1,0,1
84427,AD15,0,High School,Female,15,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Local,No information,Does not apply,High school,PTM,RO,92,1411,0,0,30,Does not apply,1,1,"0,4",Academic talent,0,"0,4",Medium high cost,School 3907,No information,No information,,,,0,1,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
7762,AD16,0,Undergraduate,Male,18,No information,No information,No information,No information,No information,Yes,Yes,Yes,NO TEC,Local,No information,No information,EIC,IMA,RM,95,1376,0,6,50,No information,1,"1,08",0,No scholarship,0,0,High cost,School 7261,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
101752,AD17,0,High School,Male,15,PhD,Received PhD,PhD,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCS,"91,33",1086,0,0,46,Does not apply,0,1,"0,4",Sports talent,0,"0,4",Public,School 4167,No information,No information,,,,2,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
96530,AD18,0,Undergraduate,Male,19,No degree,Graduated from elementary or middle school,No degree,Graduated from elementary or middle school,No degree,No,No,No,NO TEC,Local,No information,Yes,EN,LDE,RCM,"87,3",1269,0,3,35,44,1,"1,08",0,Army/Navy scholarship,0,0,Public,School 6412,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,0,0,0,1,1
94825,AD20,1,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Yes: National,Urban,No,EN,NEG,RCM,"87,39",Does not apply ,0,7,36,48.08388101,1,"0,96","0,9",Sports talent,0,"0,9",Medium high cost,School 97,No information,No information,93,0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
104963,AD20,1,High School,Female,14,Master degree,Received master degree,Master degree,Graduated from high school,No degree,No,No,No,NO TEC,Local,Rural,Does not apply,High school,PBB,RCS,"79,55",1030,0,4,35,Does not apply,1,1,0,No scholarship,0,0,Low cost,School 3703,No information,Low,"78,5",0,0,0,Does not apply,Does not apply,Does not apply,3,1,0,1,0,1
31070,AD14,0,Undergraduate,Male,18,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,IQA,RM,"92,21",Does not apply ,0,6,,100,0,"1,25",0,No scholarship,0,0,High cost,School 7359,No information,No information,,,,2,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
35496,AD14,0,High School,Female,3,Undergraduate degree,None educational degree,No degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCS,92,1406,0,0,14,Does not apply,1,1,"0,6",Traditional,0,"0,599965651",Medium high cost,School 1460,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
