Solicitud_id,Aprobado,Hit_Buro_Huella,Malo,Num_IQ_U3M_PL_Financieras,Edad_cliente,Porcentaje_cuentas_abiertas,Num_IQ_U3M,Num_IQ_U3M_TDC_Banco,MaxMOP_U3M,Saldo_actual_prest_personales,Num_IQ_U3M_Prest_personales,Ingreso_Bruto,Número_ctas_atraso_prest_personales_U3M,Número_ctas_atraso_TdC_U3M,Ctas_ab_U18M_TDC_Banco,Num_ctas_prest_pers,Flag_prest_nómina,Meses_cta_más_antig,Flag_fraude_prest_nomina,Flag_fraude_hipotecario,Flag_quebranto_prest_personal,Entidad_federativa,Tipo_suscripcion,Status,Antigüedad_uso_linea_celular,Gasto_mensual_telefonia,Actividad_usuario,Cambio_SIM_U3M,Variable_37,Gasto_ultimos_60_días,Score_FPD,Rango_dispositivo,Adopcion_tecno,Score_incumplimiento,Tasa_contactacion,Calidad_telefonica,Score_contabilidad_entrante,Score_contabilidad_saliente,Disciplina_tech,Cluster_sucursales
5846734,1,11,0,-2,56,0.147058824,3,-2,7,86058,1,5023.38,1,0,-2,22,-2,3,0,-2,0,EM,PREPAGO,1,79,6,6,0,20,6,506,4,4,608,641,784,3,3,100,3
5846886,1,11,0,-2,63,0.16,8,2,1,-2,1,14398,0,0,0,16,-2,6,0,-2,-2,CHI,PREPAGO,1,16,6,5,0,20,6,360,-1,-1,592,581,712,2,3,1,3
5846924,1,11,0,1,64,0.36,7,-2,9,454744,2,20958.76,3,1,0,23,-2,3,0,0,0,ZAC,PREPAGO,1,49,6,5,0,20,6,513,5,4,587,625,756,3,3,87,1
5847000,1,11,0,3,61,0.666666667,9,-2,1,188191,4,4479,0,-2,-2,2,-2,2,-2,-2,0,CDMX,POSPAGO,1,39,-1,5,0,20,6,544,3,7,586,627,796,3,2,-3,3
5847133,1,11,0,-2,64,0.25,8,2,9,153986,1,2889.29,6,0,0,20,-2,20,-2,-2,0,AGS,PREPAGO,1,56,6,4,0,20,6,410,4,7,613,565,761,2,2,85,1
5847437,1,10,1,-2,60,0.269230769,9,2,9,13943,1,9300,4,0,0,17,-2,9,0,0,0,EM,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
5847456,1,11,0,-2,64,0.2,5,-2,9,46332,1,13102.19,0,-2,-2,1,-2,139,-2,0,0,NL,PREPAGO,1,68,6,3,0,19,6,372,5,7,607,581,726,2,2,59,1
5847494,1,11,0,-2,64,0.133333333,1,-2,9,-2,1,7948.22,0,0,-2,6,-2,18,0,-2,0,EM,MIXTO,1,73,-1,5,0,20,7,529,-1,-1,602,634,763,3,3,-2,3
5847665,1,11,1,1,75,0.380952381,5,-2,9,83118,2,5406.1,3,1,0,8,-2,5,0,-2,0,GRO,PREPAGO,1,70,8,6,2,19,8,377,6,6,506,619,779,3,3,51,-1
5848368,1,11,1,-2,62,0.148148148,2,-2,9,18372,1,4179.39,0,0,-2,13,-2,4,-2,0,0,OAX,PREPAGO,1,50,6,6,0,20,6,397,4,4,559,618,777,3,3,47,3
5848463,1,10,1,-2,64,0.52631579,12,2,9,468760,1,20278.83,6,-2,-2,17,1,4,-2,-2,0,BCN,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5848710,1,11,1,-2,53,0.153846154,1,-2,9,-2,1,41393.28,-2,-2,-2,-2,-2,47,0,0,-2,CHS,POSPAGO,1,75,-1,4,0,20,9,524,-1,-1,599,698,804,3,3,-3,3
