solicitud_id,aprobado,hit_buro_huella,malo,num_iq_u3m_pl_financieras,edad_cliente,porcentaje_cuentas_abiertas,num_iq_u3m,num_iq_u3m_tdc_banco,maxmop_u3m,saldo_actual_prest_personales,num_iq_u3m_prest_personales,ingreso_bruto,numero_ctas_atraso_prest_personales_u3m,numero_ctas_atraso_tdc_u3m,ctas_ab_u18m_tdc_banco,num_ctas_prest_pers,flag_prest_nomina,meses_cta_mas_antig,flag_fraude_prest_nomina,flag_fraude_hipotecario,flag_quebranto_prest_personal,entidad_federativa,tipo_suscripcion,footprint_status,footprint_antiguedad_uso_linea_celular,footprint_gasto_mensual_telefonia,footprint_actividad_usuario,footprint_cambio_sim_u3m,footprint_variable_37,footprint_gasto_ultimos_60_dias,footprint_score_fpd,footprint_rango_dispositivo,footprint_adopcion_tecno,footprint_score_incumplimiento,footprint_tasa_contactacion,footprint_calidad_telefonica,footprint_score_contactabilidad_entrante,footprint_score_contactabilidad_saliente,footprint_disciplina_tech,footprint_cluster_sucursales,region
5666481.0,1,11,0,2,58,0.5,3,-2,9,-2,3,10195.9,0,0,0,1,-2,36,-2,-2,-2,EM,PREPAGO,1,68,5,5,0,20,5,437,4,7,616,618,750,3,3,75,1,
5666804.0,1,11,0,-2,66,0.769230769,2,-2,9,39793,1,7760.8,2,2,-2,3,-2,5,-2,-2,0,PUE,PREPAGO,1,62,6,4,1,20,6,412,5,4,588,622,745,3,2,78,3,Centro
5666823.0,1,11,0,-2,64,0.333333333,1,-2,9,44052,1,3596.69,0,1,-2,8,-2,5,-2,-2,0,GTO,PREPAGO,1,67,3,3,0,20,3,395,-1,-1,602,573,737,2,1,42,1,Centro
5667013.0,1,11,0,-2,68,0.545454545,1,-2,9,-2,1,3226.77,-2,0,0,-2,-2,5,-2,0,-2,SIN,PREPAGO,1,74,7,4,2,15,7,434,-1,-1,559,641,733,3,3,53,3,Noroeste
5667051.0,1,11,0,-2,62,0.5,4,-2,9,46939,1,3704.15,1,-2,-2,3,-2,13,0,-2,1,COA,PREPAGO,1,64,7,6,0,24,7,433,-1,-1,590,611,750,3,3,48,3,Noreste
5667526.0,1,11,0,1,58,0.263157895,2,-2,9,24423,2,2523.49,1,0,-2,11,-2,5,0,0,0,COL,PREPAGO,1,60,5,4,0,20,5,387,5,4,603,626,744,3,2,58,1,Occidente
5667811.0,1,11,0,1,60,0.0,3,-2,0,-2,2,17813.66,0,-2,-2,11,-2,51,-2,0,-2,EM,PREPAGO,1,32,7,5,0,17,7,494,8,5,598,614,726,3,3,55,3,
5668191.0,1,11,0,-2,59,0.258064516,5,-2,9,218938,1,7574.4,4,-2,-2,20,1,48,-2,-2,0,GTO,PREPAGO,1,49,5,5,0,25,5,447,5,6,638,625,743,3,2,45,1,Centro
5668248.0,1,11,0,1,62,0.4,6,-2,9,112123,2,5855.69,3,1,0,9,-2,5,0,-2,0,GTO,PREPAGO,1,66,7,6,0,22,7,436,8,5,613,645,781,3,3,58,1,Centro
5668324.0,1,11,0,-2,57,0.098039216,2,-2,9,18325,1,12344.0,1,1,0,34,-2,5,-2,-2,0,EM,PREPAGO,1,66,2,4,0,21,2,382,4,9,566,602,730,3,2,1,3,
5668343.0,1,11,0,-2,46,0.294117647,1,-2,9,90584,1,6970.1,1,1,0,2,-2,3,0,0,-2,NL,PREPAGO,1,51,-1,2,0,20,0,311,4,9,575,508,741,2,0,-2,1,Noreste
5668400.0,1,11,0,-2,63,0.5,5,-2,1,-2,1,7895.53,-2,-2,-2,-2,-2,3,0,-2,-2,CHI,PREPAGO,1,81,6,6,0,20,6,355,-1,-1,593,623,785,3,3,75,3,
5668457.0,1,11,0,-2,62,0.041269841,2,-2,1,128956,1,5869.08,0,0,-2,252,1,1,0,0,0,CAM,POSPAGO,1,76,-1,5,0,20,9,493,5,8,626,685,812,3,1,-3,1,Sur-Sureste
5668476.0,1,11,1,-2,46,0.833333333,15,2,5,34321,1,4607.07,1,-2,-2,2,-2,2,0,-2,-2,CDMX,PREPAGO,1,60,8,5,0,19,8,463,5,5,595,631,755,3,3,54,3,Centro
5668495.0,1,11,0,-2,67,0.578947368,2,-2,1,-2,1,10838.86,-2,0,1,-2,1,4,0,-2,-2,JAL,PREPAGO,1,48,3,3,0,18,3,284,-1,-1,582,598,719,2,1,1,1,Occidente
5668647.0,1,11,0,-2,69,0.666666667,2,-2,7,-2,1,5406.1,-2,0,0,-2,-2,42,0,-2,-2,CHS,PREPAGO,1,70,6,6,2,17,6,508,4,6,591,633,784,3,4,48,3,Noroeste
5668723.0,1,11,0,-2,59,0.3,8,2,1,66162,1,23316.38,0,0,-2,4,-2,48,0,0,0,CDMX,PREPAGO,1,65,4,4,0,17,4,469,6,8,594,578,746,0,0,44,3,Centro
5668932.0,1,11,0,-2,62,1.0,5,2,1,20400,1,3425.64,0,-2,-2,1,-2,6,0,-2,-2,BCN,PREPAGO,1,70,7,6,0,22,7,362,-1,-1,596,617,767,3,3,51,3,
5669065.0,1,11,0,-2,59,0.307692308,3,-2,9,362757,1,30502.85,1,0,-2,16,-2,7,0,0,0,VER,POSPAGO,1,69,-1,5,0,20,10,581,8,6,595,647,804,3,2,-3,3,Noreste
5669312.0,1,11,0,-2,66,0.181818182,2,-2,1,-2,1,14212.9,0,0,-2,3,-2,8,-2,-2,0,TLAX,POSPAGO,1,69,-1,4,0,20,6,482,6,7,614,656,775,3,2,-3,3,Centro
5669464.0,1,11,0,1,57,0.571428571,9,2,1,-2,2,5080.0,0,-2,-2,1,1,3,-2,-2,-2,JAL,PREPAGO,1,10,3,2,0,22,3,233,1,7,544,565,657,2,2,1,3,Occidente
5669521.0,1,11,0,2,47,0.25,18,4,1,249134,4,8231.41,0,0,0,27,1,2,0,-2,0,EM,PREPAGO,1,56,7,5,1,20,7,437,4,6,534,614,753,3,2,50,3,
5669825.0,1,11,0,1,67,0.214285714,4,-2,2,4080,2,3561.29,1,0,0,8,-2,19,-2,-2,0,EM,PREPAGO,1,35,3,2,0,21,3,429,5,7,567,611,707,2,1,12,3,
5669901.0,1,11,1,2,64,0.375,6,-2,2,36348,3,5252.85,0,-2,-2,4,-2,3,0,-2,0,DGO,PREPAGO,1,32,8,6,0,23,9,327,4,6,528,594,747,3,3,50,1,Centro
5669977.0,1,11,0,1,62,0.03125,7,-2,1,-2,2,3886.09,0,0,-2,7,-2,5,-2,-2,-2,DGO,PREPAGO,1,32,6,5,0,20,6,339,4,8,549,581,745,3,3,59,1,Centro
5670110.0,1,11,0,1,75,0.571428571,2,-2,9,126655,2,13659.94,0,2,-2,8,-2,5,0,-2,0,EM,PREPAGO,1,73,6,2,0,20,6,380,4,8,588,630,746,2,2,84,3,
5670281.0,1,11,0,-2,62,0.090909091,1,-2,9,15223,1,3556.38,1,0,-2,20,-2,13,-2,-2,0,BCN,PREPAGO,1,72,8,6,0,23,8,438,-1,-1,620,606,775,3,3,87,1,
5670300.0,1,11,1,-2,67,0.6,1,-2,9,-2,1,21780.34,-2,1,0,-2,-2,47,0,0,-2,TAM,PREPAGO,1,73,6,3,0,20,6,436,-1,-1,597,603,735,2,2,40,1,Noreste
5670357.0,1,11,0,-2,77,0.571428571,1,-2,9,139820,1,8962.7,1,1,-2,6,-2,6,-2,-2,0,EM,PREPAGO,1,48,5,5,0,20,5,449,3,6,528,604,767,4,2,50,3,
5670395.0,1,11,1,1,53,0.625,8,-2,9,-2,2,8765.67,-2,0,1,-2,-2,3,0,0,-2,EM,POSPAGO,1,40,-1,5,0,20,10,486,6,6,622,688,803,3,3,-3,3,
5670433.0,1,11,1,2,54,0.444444444,9,-2,9,192607,3,32252.114999999998,0,0,2,11,-2,6,-2,0,0,SIN,PREPAGO,1,65,5,7,2,18,5,481,6,6,567,620,772,3,3,59,3,Noroeste
5670509.0,1,11,0,-2,66,0.25,3,1,9,32918,1,4928.17,0,-2,-2,10,-2,31,-2,0,0,BCN,PREPAGO,1,84,7,5,0,19,7,331,4,5,595,616,794,3,2,51,1,
5670585.0,1,11,0,-2,66,0.48,8,1,1,173370,1,19794.79,0,0,0,4,-2,3,-2,0,0,NAY,PREPAGO,1,76,7,5,0,18,7,410,4,5,614,651,776,3,2,49,1,
5670756.0,1,11,1,1,57,0.21875,7,2,1,113857,2,10763.94,0,0,0,7,1,3,-2,0,-2,JAL,POSPAGO,1,91,-1,6,0,20,6,432,9,9,663,687,847,3,2,-3,1,Occidente
5670870.0,1,11,0,-2,57,0.125,2,-2,9,-2,1,22304.5,0,3,0,26,-2,36,-2,-2,-2,VER,POSPAGO,1,72,-1,6,0,20,8,540,4,5,610,630,824,3,3,-3,3,Noreste
5671003.0,1,11,0,-2,50,0.571428571,5,-2,9,91876,1,5894.67,2,0,-2,4,-2,3,0,0,0,BCN,PREPAGO,1,62,6,5,0,20,6,414,-1,-1,582,608,760,3,3,100,3,
5671060.0,1,11,0,-2,75,0.272727273,1,-2,9,699,1,3484.65,0,1,0,2,-2,32,0,-2,-2,BCN,PREPAGO,1,72,4,4,1,23,4,448,5,6,579,623,765,3,3,35,1,
5671193.0,1,11,0,-2,70,0.4,4,-2,1,-2,1,3502.51,-2,0,-2,-2,-2,19,-2,-2,-2,GTO,PREPAGO,1,33,4,5,0,16,4,417,4,7,591,593,715,2,3,50,2,Centro
5671212.0,1,11,0,1,62,0.111111111,4,-2,1,186065,2,7521.76,0,0,1,4,-2,4,0,-2,0,YUC,PREPAGO,1,24,6,6,0,20,6,454,3,6,566,577,735,3,3,43,3,Sur-Sureste
5671307.0,1,11,1,1,55,0.0,6,-2,0,-2,2,22976.75,-2,0,-2,-2,-2,6,0,0,-2,EM,PREPAGO,1,61,7,4,0,20,7,456,4,5,596,603,752,2,1,56,3,
